Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
udp_burst,dc_100m,TcpSwift,44,69.792189,0.697922,1.967149,0.124128,0.000000,0.999921,comparison-udp/dc_100m_TcpSwift_s44.flowmonitor
udp_burst,lte_poor,TcpBbr,42,7.420443,0.742044,282.531478,1.276131,0.000000,0.999905,comparison-udp/lte_poor_TcpBbr_s42.flowmonitor
udp_burst,lte_poor,TcpBbr,43,7.456926,0.745693,298.637159,1.339550,0.000000,0.999837,comparison-udp/lte_poor_TcpBbr_s43.flowmonitor
udp_burst,lte_poor,TcpBbr,44,7.429572,0.742957,286.555520,1.273505,0.000000,0.999908,comparison-udp/lte_poor_TcpBbr_s44.flowmonitor
udp_burst,lte_poor,TcpCubic,42,7.188472,0.718847,202.490436,2.698600,0.000000,0.999727,comparison-udp/lte_poor_TcpCubic_s42.flowmonitor
udp_burst,lte_poor,TcpCubic,43,7.188472,0.718847,202.490436,2.698600,0.000000,0.999727,comparison-udp/lte_poor_TcpCubic_s43.flowmonitor
udp_burst,lte_poor,TcpCubic,44,7.188472,0.718847,202.490436,2.698600,0.000000,0.999727,comparison-udp/lte_poor_TcpCubic_s44.flowmonitor
udp_burst,lte_poor,TcpNewReno,42,6.964595,0.696459,153.810559,2.215906,0.000000,0.999568,comparison-udp/lte_poor_TcpNewReno_s42.flowmonitor
udp_burst,lte_poor,TcpNewReno,43,6.964595,0.696459,153.810559,2.215906,0.000000,0.999568,comparison-udp/lte_poor_TcpNewReno_s43.flowmonitor
udp_burst,lte_poor,TcpNewReno,44,6.964595,0.696459,153.810559,2.215906,0.000000,0.999568,comparison-udp/lte_poor_TcpNewReno_s44.flowmonitor
udp_burst,lte_poor,TcpSwift,42,6.985692,0.698569,162.844981,2.987157,0.000000,0.995253,comparison-udp/lte_poor_TcpSwift_s42.flowmonitor
udp_burst,lte_poor,TcpSwift,43,6.985692,0.698569,162.844981,2.987157,0.000000,0.995253,comparison-udp/lte_poor_TcpSwift_s43.flowmonitor
udp_burst,lte_poor,TcpSwift,44,6.985692,0.698569,162.844981,2.987157,0.000000,0.995253,comparison-udp/lte_poor_TcpSwift_s44.flowmonitor
udp_burst,satellite_geo,TcpBbr,42,6.066511,0.606651,836.286934,1.861978,0.000000,0.999779,comparison-udp/satellite_geo_TcpBbr_s42.flowmonitor
udp_burst,satellite_geo,TcpBbr,43,6.070037,0.607004,851.190758,1.889107,0.000000,0.999867,comparison-udp/satellite_geo_TcpBbr_s43.flowmonitor
udp_burst,satellite_geo,TcpBbr,44,6.072397,0.607240,846.199022,1.862237,0.000000,0.999867,comparison-udp/satellite_geo_TcpBbr_s44.flowmonitor
udp_burst,satellite_geo,TcpCubic,42,5.267928,0.526793,423.057819,2.732710,0.000000,0.982371,comparison-udp/satellite_geo_TcpCubic_s42.flowmonitor
udp_burst,satellite_geo,TcpCubic,43,5.267928,0.526793,423.057819,2.732710,0.000000,0.982371,comparison-udp/satellite_geo_TcpCubic_s43.flowmonitor
udp_burst,satellite_geo,TcpCubic,44,5.267928,0.526793,423.057819,2.732710,0.000000,0.982371,comparison-udp/satellite_geo_TcpCubic_s44.flowmonitor
udp_burst,satellite_geo,TcpNewReno,42,4.585384,0.458538,379.165820,2.471492,0.000000,0.950185,comparison-udp/satellite_geo_TcpNewReno_s42.flowmonitor
udp_burst,satellite_geo,TcpNewReno,43,4.585384,0.458538,379.165820,2.471492,0.000000,0.950185,comparison-udp/satellite_geo_TcpNewReno_s43.flowmonitor
udp_burst,satellite_geo,TcpNewReno,44,4.585384,0.458538,379.165820,2.471492,0.000000,0.950185,comparison-udp/satellite_geo_TcpNewReno_s44.flowmonitor
